,City,Price,Bedroom,Bathroom,Face,Road,Amenities,Unit,New_Area,Road_Width,Number of Amenities
1369,Kathmandu,30500000,4,4,North East,15 Feet / Blacktopped,"[""'Modular Kitchen'"", "" 'Water Supply'"", "" 'Drainage'"", "" 'Wifi'"", "" 'Garage'"", "" 'Lawn'"", "" 'Balcony'"", "" 'Microwave'""]",Aana,5.0,15,8
1370,Lalitpur,1250000,0,0,East,13 Feet / Gravelled,[''],Aana,6.5,13,1
1372,Kathmandu,21000000,6,3,North,14 Feet / Blacktopped,"[""'Balcony'"", "" 'Water Well'"", "" 'TV Cable'"", "" 'Wifi'""]",Aana,3.0,14,4
1373,Lalitpur,6000000,0,0,East,26 Feet,[''],Aana,11.0,26,1
1376,Kathmandu,33000000,3,4,East,20 Feet / Blacktopped,"[""'Garage'"", "" 'Lawn'"", "" 'Balcony'"", "" 'Swimming Pool'"", "" 'Gym'"", "" 'Garden'"", "" 'Frontyard'"", "" 'Drainage'"", "" 'Wifi'"", "" 'Modular Kitchen'"", "" 'Water Supply'""]",Aana,0.3,20,11
1378,Bhaktapur,3200000,0,0,West,13 Feet / Blacktopped,[''],Aana,6.0,13,1
1379,Kathmandu,2200000,0,0,East,15 Feet / Soil Stabilized,[''],Aana,9.0,15,1
1380,Kathmandu,55000000,10,5,South,15 Feet / Gravelled,"[""'Balcony'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Solar Water'"", "" 'Water Tank'""]",Aana,8.0,15,7
1381,Kathmandu,2550000,0,0,West,13 Feet / Gravelled,[''],Aana,11.0,13,1
1382,Kathmandu,40000000,5,4,South,15 Feet / Gravelled,"[""'Balcony'"", "" 'Modular Kitchen'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Solar Water'"", "" 'Water Tank'""]",Aana,6.0,15,8
1383,Kathmandu,2600000,0,0,North,13 Feet / Soil Stabilized,[''],Aana,14.0,13,1
